SEMANA,FECHA DE PROCESO,CODIGO,EAN,LÍNEA PRODUCCION,"DESCRIPCIÓN
ARTÍCULO",KILOGRAMOS EN PIE,KILOGRAMOS PROCESADOS,CANTIDAD DE CERDOS,UNIDADES CON DEFECTOS PROCESO,DEFECTOS PROCESO,UNIDADES CON DEFECTOS GRANJA,DEFECTOS GRANJA,ESTÁNDAR,RENDIMIENTO DE LÍNEA,PESO PROMEDIO EN PIE,PESO PROMEDIO PROCESADO,%CALIDAD,CANTIDAD DE PERSONAL,HORA DE INICIO,HORA DE FIN,HORA DE INICIO PARA,HORA DE FIN PARA,MOTIVOS DE PARADAS,HORAS DE PARAS NO PLANIFICADAS,HORAS DE PARAS PLANIFICADAS,HORAS PROGRAMADAS,HORAS PRODUCTIVAS,VARIACIÓN DE HORAS EN PRODUCCIÓN,UNIDADES/HORA,KILOS/HORA/HOMBRE,%DISPONIBILIDAD,%RENDIMIENTO,OEE
5,26/1/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"6235,4","4670,52",60,10,,,,42,"74,90%","103,9233333","77,842","83,33%",34,7:20:00 a. m.,9:23:00 a. m.,,,,0,,"1,428571429","2,05","0,62",29,"67,01","56,50%","69,69%","32,81%"
5,26/1/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"16538,2","13411,8",142,15,,,,40,"81,10%","116,4661972","94,44929577","89,44%",34,8:50:00 a. m.,12:15:00 p. m.,,,,0,1,"3,55","2,42","0,00",59,"163,23","100,00%","100,00%","89,44%"
5,26/1/2026,PPRO000209,,REPRODUCTORA,PP CANAL DE CERDO EVISCERADO,"4108,2","3165,1",19,1,,,,10,"77,04%","216,2210526","166,5842105","94,74%",34,1:10:00 p. m.,3:05:00 p. m.,,,,0,,"1,9","1,92","0,02",10,"48,57","99,12%","99,13%","93,09%"
5,27/1/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"5918,65","4432,25",60,11,,,,42,"74,89%","98,64416667","73,87083333","81,67%",37,7:00:00 a. m.,8:58:00 a. m.,,,,0,,"1,428571429","1,97","0,54",31,"60,91","62,33%","72,64%","36,98%"
5,27/1/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"27711,45","22635,9",240,20,,,,40,"81,68%","115,464375","94,31625","91,67%",37,8:30:00 a. m.,2:45:00 p. m.,,,,0,1,6,"5,25","0,00",46,"116,53","100,00%","100,00%","91,67%"
5,28/1/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"6367,2","4916,65",60,13,,,,42,"77,22%","106,12","81,94416667","78,33%",36,7:00:00 a. m.,8:55:00 a. m.,,,,0,,"1,428571429","1,92","0,49",31,"71,26","65,83%","74,53%","38,44%"
5,28/1/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"28311,15","22860,4",240,25,,,,40,"80,75%","117,963125","95,25166667","89,58%",36,8:25:00 a. m.,3:34:00 p. m.,,,,0,1,6,"6,15","0,15",39,"103,25","97,50%","97,56%","85,21%"
5,28/1/2026,PPRO000099,,DESCARTES,PP CANAL DE CERDO EVISCERADO,"1171,75","847,9",45,25,,,,40,"72,36%","26,03888889","18,84222222","44,44%",36,2:50:00 p. m.,4:10:00 p. m.,,,,0,,"1,125","1,33","0,21",34,"17,66","81,48%","84,38%","30,56%"
5,29/1/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"34524,55","27933,05",290,27,,,,40,"80,91%","119,0501724","96,32086207","90,69%",38,7:00:00 a. m.,2:30:00 p. m.,,,,0,1,"7,25","6,50","0,00",45,"113,09","100,00%","100,00%","90,69%"
5,30/1/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"15580,2","12704,65",135,21,,,,40,"81,54%","115,4088889","94,10851852","84,44%",33,7:00:00 a. m.,10:19:00 a. m.,,,,0,,"3,375","3,32","0,00",41,"116,08","100,00%","100,00%","84,44%"
